Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2023,40,0-4 yr,0,0,2,13,0,4,0,0,0
2023,41,0-4 yr,0,0,3,18,0,8,0,2,0
2023,42,0-4 yr,0,0,0,24,1,12,0,1,0
2023,43,0-4 yr,0,0,4,16,1,3,0,2,0
2023,44,0-4 yr,0,0,1,28,6,13,0,0,0
2023,45,0-4 yr,0,0,2,58,13,14,0,4,0
2023,46,0-4 yr,0,0,6,44,9,13,0,7,0
2023,47,0-4 yr,0,0,6,52,7,15,0,3,0
2023,48,0-4 yr,0,0,15,56,11,23,0,2,0
2023,49,0-4 yr,0,0,20,76,28,24,0,4,0
2023,50,0-4 yr,0,0,15,86,35,43,0,5,0
2023,51,0-4 yr,0,0,28,82,26,29,0,3,0
2023,52,0-4 yr,0,0,27,132,28,36,0,5,0
2024,1,0-4 yr,0,0,18,99,15,40,0,8,0
2024,2,0-4 yr,0,0,22,81,28,40,0,8,0
2024,3,0-4 yr,0,0,16,70,9,31,0,5,0
2024,4,0-4 yr,0,0,18,61,14,28,0,6,0
2024,5,0-4 yr,0,0,16,49,15,38,0,3,0
2024,6,0-4 yr,0,0,23,47,14,28,0,4,0
2024,7,0-4 yr,0,0,30,32,16,41,0,4,0
2024,8,0-4 yr,0,0,12,12,9,19,0,5,0
2023,40,5-24 yr,0,0,4,67,3,25,0,1,0
2023,41,5-24 yr,0,0,5,70,3,36,0,2,0
2023,42,5-24 yr,0,0,8,95,7,40,0,6,0
2023,43,5-24 yr,0,0,10,77,22,43,0,7,0
2023,44,5-24 yr,0,0,14,94,22,53,0,9,0
2023,45,5-24 yr,0,0,23,150,45,65,0,11,0
2023,46,5-24 yr,0,0,44,129,51,69,0,21,0
2023,47,5-24 yr,0,0,40,157,44,64,0,11,0
2023,48,5-24 yr,0,0,53,162,34,106,0,9,0
2023,49,5-24 yr,0,0,96,285,76,140,0,27,0
2023,50,5-24 yr,0,0,102,279,156,140,0,48,0
2023,51,5-24 yr,0,0,80,292,98,121,0,23,0
2023,52,5-24 yr,0,0,64,192,65,89,0,12,0
2024,1,5-24 yr,0,0,47,158,46,111,0,14,0
2024,2,5-24 yr,0,0,59,167,67,102,0,30,0
2024,3,5-24 yr,0,0,58,155,53,93,0,21,0
2024,4,5-24 yr,0,0,96,157,56,119,0,22,0
2024,5,5-24 yr,0,0,94,132,45,149,0,28,0
2024,6,5-24 yr,0,0,107,132,46,188,0,31,0
2024,7,5-24 yr,0,0,93,77,54,166,0,27,0
2024,8,5-24 yr,0,0,38,37,57,98,0,44,0
2023,40,25-64 yr,0,0,5,58,5,17,0,0,0
2023,41,25-64 yr,0,0,6,85,7,20,0,1,0
2023,42,25-64 yr,0,0,15,94,20,17,0,3,0
2023,43,25-64 yr,0,0,11,81,18,13,0,3,0
2023,44,25-64 yr,0,0,18,88,24,19,0,3,0
2023,45,25-64 yr,0,0,25,148,35,37,0,8,0
2023,46,25-64 yr,0,0,26,170,66,49,0,12,0
2023,47,25-64 yr,0,0,49,193,66,52,0,11,0
2023,48,25-64 yr,0,0,45,283,78,83,0,11,0
2023,49,25-64 yr,0,0,78,323,105,74,0,20,0
2023,50,25-64 yr,0,0,96,366,173,80,0,33,0
2023,51,25-64 yr,0,0,117,506,128,84,0,14,0
2023,52,25-64 yr,0,0,111,466,134,78,0,15,0
2024,1,25-64 yr,0,0,123,406,128,126,0,34,0
2024,2,25-64 yr,0,0,129,311,141,83,0,27,0
2024,3,25-64 yr,0,0,101,264,110,65,0,22,0
2024,4,25-64 yr,0,0,148,266,106,88,0,26,0
2024,5,25-64 yr,0,0,113,209,93,90,0,21,0
2024,6,25-64 yr,0,0,145,158,73,108,0,26,0
2024,7,25-64 yr,0,0,119,143,69,103,0,12,0
2024,8,25-64 yr,0,0,63,78,63,62,0,26,0
2023,40,65+ yr,0,0,5,30,1,0,0,1,0
2023,41,65+ yr,0,0,4,24,3,0,0,0,0
2023,42,65+ yr,0,0,3,40,6,1,0,0,0
2023,43,65+ yr,0,0,7,36,7,0,0,0,0
2023,44,65+ yr,0,0,6,58,8,1,0,0,0
2023,45,65+ yr,0,0,5,69,18,1,0,1,0
2023,46,65+ yr,0,0,14,60,17,1,0,1,0
2023,47,65+ yr,0,0,17,104,18,2,0,0,0
2023,48,65+ yr,0,0,53,124,45,3,0,1,0
2023,49,65+ yr,0,0,55,166,28,8,0,1,0
2023,50,65+ yr,0,0,49,175,55,3,0,1,0
2023,51,65+ yr,0,0,86,238,49,4,0,1,0
2023,52,65+ yr,0,0,86,319,52,5,0,0,0
2024,1,65+ yr,0,0,101,302,70,11,0,5,0
2024,2,65+ yr,0,0,82,237,60,5,0,3,0
2024,3,65+ yr,0,0,80,184,49,5,0,1,0
2024,4,65+ yr,0,0,83,146,57,3,0,3,0
2024,5,65+ yr,0,0,85,153,32,9,0,3,0
2024,6,65+ yr,0,0,80,146,40,6,0,0,0
2024,7,65+ yr,0,0,70,108,35,6,0,1,0
2024,8,65+ yr,0,0,29,55,36,3,0,2,0
2022,40,0-4 yr,0,0,22,4,1,1,0,2,0
2022,41,0-4 yr,0,0,35,12,2,1,0,0,0
2022,42,0-4 yr,0,0,35,10,1,4,0,2,1
2022,43,0-4 yr,0,0,63,18,3,2,0,0,0
2022,44,0-4 yr,0,0,78,30,15,1,0,2,0
2022,45,0-4 yr,0,0,96,26,17,1,0,0,0
2022,46,0-4 yr,0,0,147,39,33,0,0,1,0
2022,47,0-4 yr,0,0,191,34,24,0,0,0,0
2022,48,0-4 yr,0,0,199,56,59,0,0,0,0
2022,49,0-4 yr,0,0,160,47,37,2,0,0,0
2022,50,0-4 yr,0,0,156,44,49,3,0,1,0
2022,51,0-4 yr,0,0,97,44,44,1,0,0,0
2022,52,0-4 yr,0,0,98,40,24,2,0,0,0
2023,1,0-4 yr,0,0,61,41,14,1,0,1,0
2023,2,0-4 yr,0,0,43,26,10,0,0,0,0
2023,3,0-4 yr,0,0,26,14,2,0,0,0,0
2023,4,0-4 yr,0,0,14,10,4,1,0,0,0
2023,5,0-4 yr,0,0,13,8,2,2,0,0,0
2023,6,0-4 yr,0,0,8,15,3,1,0,0,0
2023,7,0-4 yr,0,0,8,8,1,2,0,1,0
2023,8,0-4 yr,0,0,10,7,1,3,0,1,0
2023,9,0-4 yr,0,0,4,4,1,1,0,0,0
